-0.017612	14.053064	0
-0.752157	6.538620	0
0.423363	11.054677	0
0.569411	9.548755	0
-0.026632	10.427743	0
0.850433	6.920334	1
-0.566606	5.749003	1
-0.024205	6.151823	1
1.014459	5.754399	1
-0.346811	-1.678730	1
-0.733928	9.098687	0
0.556921	8.294984	1
1.224863	11.587360	0
-1.347803	-2.406051	1
1.196604	4.951851	1
-1.889567	9.542662	0
1.152083	0.548467	1
1.785928	7.718645	1
0.074798	11.023650	0
-1.337472	0.468339	1
0.518389	9.887035	0
1.319944	2.171228	1
-0.846637	3.849075	1
1.400102	12.628781	0
1.752842	5.468166	1
